utt_id,text,audio_file
1246-124550-0000,THOUGH THE ARMISTICE WITH GERMANY WAS SIGNED A FEW WEEKS AFTER HER COMING TO WASHINGTON THE WORK OF THE BUREAU CONTINUED SHE FILED CORRESPONDENCE ALL DAY THEN SHE DICTATED ANSWERS TO LETTERS OF INQUIRY IT WAS AN ENDURANCE OF MONOTONOUS DETAILS,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk003\1246-124550-0000.wav
6147-34606-0004,MEN FOUND SUFFICIENT AUDACITY TO WEAR THEIR OWN HAIR AND POWDER WAS INTRODUCED AS AN EXTENUATING CIRCUMSTANCE IN ORDER TO ESTABLISH BEFORE WE PASS ON AN IMPORTANT PERIOD OF HISTORY WE SHOULD REMARK THAT THE FIRST BLOW IN THE WAR OF WIGS WAS REALLY STRUCK BY A QUEEN,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk018\6147-34606-0004.wav
4898-20016-0029,AND FOLLOWED IN SILENCE NATHAN SPRANG UPON THE SHED AT THE SIDE OF THE CHURCH AND SCRAMBLED UP TO THE LITTLE WINDOW MISTER DUDLEY FOLLOWED AND WITH NATHAN'S HELP GAINED THE SAME PRECARIOUS FOOTHOLD LOOK IN SIR,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk006\4898-20016-0029.wav
481-123719-0001,I GREW USED TO EVERYTHING OR RATHER I VOLUNTARILY RESIGNED MYSELF TO ENDURING IT BUT I HAD A MEANS OF ESCAPE THAT RECONCILED EVERYTHING THAT WAS TO FIND REFUGE IN THE SUBLIME AND THE BEAUTIFUL IN DREAMS OF COURSE,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk002\481-123719-0001.wav
6019-3185-0105,WOULD HAVE BEEN TOO SMALL TO DISTRESS THE MOST TIMID WHILE TO YOUNG AND HIGH SPIRITED PEOPLE WITH COURAGE TO SPARE FOR ORDINARY TRIALS,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk016\6019-3185-0105.wav
125-121342-0001,BUT OLD MONOTONY IS THERE ENDLESS AVENUES OF RAIN OH MIGHT I RISE AGAIN MIGHT I THROW OFF THE HEAT OF THAT OLD WINE SEE THE NEW MORNING MASS THE SKY WITH FAIRY TOWERS LINE ON LINE,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk017\125-121342-0001.wav
481-123719-0038,WHO HAD IN NO WAY BEEN DISTINGUISHED AT SCHOOL WAS OF A QUIET AND EQUABLE DISPOSITION BUT I DISCOVERED IN HIM A CERTAIN INDEPENDENCE OF CHARACTER AND EVEN HONESTY I DON'T EVEN SUPPOSE THAT HE WAS PARTICULARLY STUPID,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk002\481-123719-0038.wav
6147-34606-0001,DISGUISED BY ARTFUL CURLING FOR TO RISK ONE'S HAIR WAS ALMOST TO RISK ONE'S HEAD THE INDIGNATION WAS UNIVERSAL NEVERTHELESS,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk018\6147-34606-0001.wav
3242-8112-0002,EVERY LAST MUSCLE IN TRIGGER'S BODY SEEMED TO GO LIMP SIMULTANEOUSLY SHE SETTLED BACK SLIGHTLY IN THE CHAIR SURPRISED BY THE FORCE OF THE REACTION SHE HADN'T REALIZED BY NOW HOW KEYED UP SHE WAS SHE SIGHED A SMALL SIGH,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk020\3242-8112-0002.wav
4898-20016-0010,AND LOOKED INTO THE CHURCH THROUGH A LITTLE WINDOW AT ONE SIDE OF THE PULPIT FOR THIS HE STARTED BUT HE DID NOT FAIL TO RUN ACROSS THE SQUARE AND LEAP OVER THE CHURCH GATE AT THE TOP OF HIS SPEED,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk006\4898-20016-0010.wav
6147-34606-0000,JUST AS IN EIGHTEEN TWENTY FOUR EUGENE DEVERIA WAS THE FIRST TO ALLOW HIS BEARD TO GROW,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk018\6147-34606-0000.wav
3214-167602-0016,LAVRUSHKA HOWEVER RAN UP TO KARP AND SEIZED HIM BY THE ARMS FROM BEHIND SHALL I CALL UP OUR MEN FROM BEYOND THE HILL HE CALLED OUT,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk005\3214-167602-0016.wav
5104-33407-0040,SO LEIF SAT IN THE HIGH SEAT OPPOSITE ERIC ALL MEN THOUGHT HIM A HANDSOME AND WISE MAN HE TOLD THEM OF THE STORM AND OF WINELAND NO MAN WOULD EVER NEED A CLOAK THERE THE SOIL IS RICHER THAN THE SOIL OF NORWAY,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk019\5104-33407-0040.wav
5789-70653-0008,PRODUCED A SINGULAR IMPRESSION THIS WAS NOT AN IMPRESSION OF HARDNESS INTERESTING FEMININITY WAS THE FIRST THING TO BE FELT IN HER PRESENCE SHE WAS NOT EVEN ENIGMATIC,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk012\5789-70653-0008.wav
5652-19215-0040,THAT GREAT BRAZEN HELMET OF TEN POINTS WHY DID ACHILLES AND HECTOR HEW EACH OTHER UP WITH VAST BLOWS OF THEIR LANCES BECAUSE HELEN ALLOWED PARIS TO TAKE HER GARTER WITH COSETTE'S GARTER,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk013\5652-19215-0040.wav
298-126791-0046,DOUBTLESS IT IS HIS DUTY TWAS SAID ABOVE A ROYAL PARTY WAS MOVING ON THE RIVER THOUGH I PASSED THE TROOPS BUT TWO MILES FROM THIS SPOT THE LATTER PART OF THE SENTENCE WAS HARDLY AUDIBLE AND IT WAS SPOKEN MORE IN THE MANNER OF A SOLILOQUY THAN AS IF FOR THE EARS OF HER COMPANIONS,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk008\298-126791-0046.wav
481-123719-0014,EVEN A SIGNIFICANCE TO MY DISSIPATION IN FACT COMPLETELY ANSWERED THE PURPOSE OF AN APPETISING SAUCE THERE WAS A CERTAIN DEPTH OF MEANING IN IT AND I COULD HARDLY HAVE RESIGNED MYSELF TO THE SIMPLE VULGAR DIRECT DEBAUCHERY OF A CLERK,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk002\481-123719-0014.wav
6019-3185-0111,AND BEING RICH BEYOND THEIR WANTS OR ANY MEANS OF EMPLOYING WEALTH WHICH THEIR GLOOMY ASCETICISM ALLOWED THEY HAD THE POWER OF DOING A GREAT DEAL OF GOOD AMONG THE INDIGENT PAPISTS OF THE SUBURBS,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk016\6019-3185-0111.wav
4088-158077-0086,TO PAY A FINE WOULD BE AN ADMISSION OF GUILT WE ARE INNOCENT THE SIX WOMEN WHO WERE PRIVILEGED TO SERVE THE FIRST TERMS OF IMPRISONMENT FOR SUFFRAGE IN THIS COUNTRY WERE MISS KATHERINE MOREY OF MASSACHUSETTS MISSUS ANNIE ARNEIL,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk015\4088-158077-0086.wav
125-121342-0047,OWN TASTE THE BEST ISABELLE CLARA ROSALIND ELEANOR WERE ALL AMERICAN ELEANOR WOULD PITCH PROBABLY SOUTHPAW ROSALIND WAS OUTFIELD WONDERFUL HITTER CLARA FIRST BASE MAYBE,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk017\125-121342-0047.wav
6454-93938-0026,BALANCING THE OUTWITTING OF CAMP AGAINST STATE'S PRISON THE DOING MY BEST FOR MADGE AGAINST THE WRONG OF IT I THINK I'M AS HONEST A FELLOW AS THE AVERAGE BUT I HAVE TO CONFESS THAT I COULDN'T DECIDE TO DO RIGHT,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk007\6454-93938-0026.wav
2007-132570-0006,NO NO SAYS HE I WILL CUT THE WAY SHORTER THAN THROUGH THE VAULTED PASSAGE AND UP THE MARBLE STAIR CASE AND ALONG THE NORTH GALLERY AND THROUGH THE WEST WING OF THE CASTLE FOR YOU SHALL STAY HERE ANNETTE YOU SHALL NOT GO OUT OF THIS ROOM TO NIGHT SO,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk014\2007-132570-0006.wav
3242-8112-0024,MANTELISH BROUGHT IT BACK TO MACCADON WITH HIM,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk020\3242-8112-0024.wav
125-121342-0018,AND SAYING SOMETHING TO HIS COMPANION WITH A LOOK OF UTTER DISGUST PROBABLY THOUGHT AMORY WHAT HE SAID WAS MY GOD AREN'T PEOPLE HORRIBLE NEVER BEFORE IN HIS LIFE HAD AMORY CONSIDERED POOR PEOPLE,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk017\125-121342-0018.wav
5789-70653-0003,AND THOSE WHO WERE TO BE CALLED ON TO GIVE EVIDENCE OCCUPIED CHAIRS TO ONE SIDE OF THE TABLE BEHIND WHICH THE CORONER SAT WHILE THE JURY IN DOUBLE ROW WITH PLASTERED HAIR AND A SPURIOUS EASE OF MANNER FLANKED HIM ON THE OTHER SIDE,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk012\5789-70653-0003.wav
83-9960-0045,THERE IS ONLY ONE THING LEFT TO DO CUT HIS THROAT THAT'S IT IT WAS THE HUSBAND AND WIFE TAKING COUNSEL TOGETHER THENARDIER WALKED SLOWLY TOWARDS THE TABLE,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk009\83-9960-0045.wav
4267-287369-0035,THEY STOOD STILL AWED NOT KNOWING WHAT TO DO THEN ONCE MORE CAME A TERRIFIC CLAP A GREAT MASS OF FIRE LIKE SOME RED HOT INGOT FROM A FOUNDRY,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk010\4267-287369-0035.wav
4898-20016-0032,IT WAS SAID TO BE A PORTRAIT OF A MINISTER IN THE TOWN WHO LIVED IN THE LAST CENTURY AND IS STILL REMEMBERED FOR HIS VIRTUES THE SIGHT OF THIS OLD MAN'S FACE COMPLETELY STILLED THE AGITATION OF THE YOUNG MINISTER,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk006\4898-20016-0032.wav
6147-34606-0017,TO INJURE TO FULFIL THIS DUTY ALL MEANS WERE HELD GOOD IN BECOMING A MOHAWK THE MEMBERS TOOK AN OATH TO BE HURTFUL TO INJURE AT ANY PRICE NO MATTER WHEN NO MATTER WHOM NO MATTER WHERE WAS A MATTER OF DUTY,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk018\6147-34606-0017.wav
298-126791-0004,NAY MY DEAR SITGREAVES SAID THE YOUTH TAKING HIS HAND YOU SEE THERE IS NO FEVER ABOUT ME LOOK IS THERE ANY OF JACK LAWTON'S HOARFROST ON MY TONGUE NO INDEED SAID THE SURGEON CLAPPING A SPOON IN THE MOUTH OF THE OTHER FORCING IT OPEN AND LOOKING DOWN HIS THROAT AS IF DISPOSED TO VISIT THE INTERIOR IN PERSON,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk008\298-126791-0004.wav
3214-167602-0005,WITHOUT CONSIDERING WHAT HE WOULD DO HE MOVED UNCONCIOUSLY WITH QUICK RESOLUTE STEPS TOWARD THE CROWD,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk005\3214-167602-0005.wav
298-126791-0007,SOFTLY MY GOOD FRIEND SOFTLY SAID THE YOUTH FALLING BACK ON HIS PILLOW AND LOSING SOME OF THAT COLOR WHICH ALARMED HIS COMPANION I BELIEVE IN EXTRACTING THE BALL YOU DID FOR ME ALL THAT IS REQUIRED I AM FREE FROM PAIN AND ONLY WEAK I DO ASSURE YOU CAPTAIN SINGLETON SAID THE SURGEON WITH HEAT,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk008\298-126791-0007.wav
125-121342-0045,WANT TO GO DOWN THERE AND SEE IF IT'S DIRTY FRENCH RIVERS ALL BROWN OR BLACK SO WERE SOUTHERN RIVERS TWENTY FOUR DOLLARS MEANT FOUR HUNDRED AND EIGHTY DOUGHNUTS HE COULD LIVE ON IT THREE MONTHS AND SLEEP IN THE PARK WONDER WHERE JILL WAS JILL BAYNE FAYNE,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk017\125-121342-0045.wav
2007-132570-0016,O LORD HOW GLAD I SHOULD BE IF IT WAS SO WOULD YOU INDEED BE GLAD SAID EMILY IN A TONE OF MOURNFUL REPROACH TO BE SURE I SHOULD,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk014\2007-132570-0016.wav
298-126791-0003,AND THE LATTER ADVANCED PROMPTLY AND LAID HIS FINGERS ON THE PULSE OF THE YOUTH BECKONING TO HIM TO BE SILENT WHILE HE MUTTERED GROWING SYMPTOMS OF A FEBRILE PULSE NO NO MY DEAR GEORGE YOU MUST REMAIN QUIET AND DUMB THOUGH YOUR EYES LOOK BETTER AND YOUR SKIN HAS EVEN A MOISTURE,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk008\298-126791-0003.wav
6019-3185-0027,IT WILL BE EASILY IMAGINED THAT SUCH A STORY ALREADY ROMANTIC ENOUGH IN ITS FIRST OUTLINE WOULD LOSE NOTHING IN THE TELLING AN ENGLISHMAN TO BEGIN WITH WHICH NAME OF ITSELF AND AT ALL TIMES IS A PASSPORT INTO GERMAN FAVOR,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk016\6019-3185-0027.wav
6147-34606-0028,LORD DAVID WAS ONE OF THE FEW REFEREES WHOM THEY DARED NOT THRASH NO ONE COULD TRAIN LIKE HIM THE PUGILIST WHOSE TRAINER HE CONSENTED TO BECOME WAS SURE TO WIN LORD DAVID WOULD CHOOSE A HERCULES MASSIVE AS A ROCK TALL AS A TOWER AND MAKE HIM HIS CHILD,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk018\6147-34606-0028.wav
1246-124550-0004,NOT TO HAVE TO REPORT TO KENNICOTT AT THE END OF THE DAY ALL THAT SHE HAD DONE OR MIGHT DO WAS A RELIEF WHICH MADE UP FOR THE OFFICE WEARINESS SHE FELT THAT SHE WAS NO LONGER ONE HALF OF A MARRIAGE,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk003\1246-124550-0004.wav
125-121342-0024,I CAN'T IMAGINE NOT BEING ABLE TO,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk017\125-121342-0024.wav
4898-20016-0034,BY THIS TIME THE SOUND OF A GATHERING CROWD BELOW WHICH HE HAD NOT HEEDED AT FIRST WAS FORCED MORE AND MORE UPON HIS NOTICE AND THE ANXIOUS VOICE OF HIS OLDEST DEACON CALLING MISTER DUDLEY MISTER DUDLEY,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk006\4898-20016-0034.wav
4267-287369-0036,WAS HURLED THROUGH THE AIR STRAIGHT AT THE FACE OF THE MOUNTAIN AND AT THE SPOT WHERE THE FIGURE IN WHITE HAD STOOD BUT A FEW MINUTES BEFORE INSTANTLY THE EARTH TREMBLED AS IT HAD AT EARTHQUAKE ISLAND,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk010\4267-287369-0036.wav
4898-20016-0020,AND SO THEY KEPT PLAYING WITH THE FESTOONS AND STEPPING ABOUT THE PEWS TO PLEASE HIM NATHAN FELT A COLD THRILL PARTLY FROM PLEASURE AND PARTLY FROM AWE RUNNING UP HIS BACK AND A STRONG PAIN ACROSS HIS FOREHEAD,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk006\4898-20016-0020.wav
6147-34606-0006,THE LOWEST STAKE ALLOWED WAS A ROULEAU OF FIFTY GUINEAS AND THERE WAS NEVER LESS THAN TWENTY THOUSAND GUINEAS ON THE TABLE BY THE SIDE OF EACH PLAYER WAS A LITTLE STAND ON WHICH TO PLACE HIS CUP OF TEA AND A GILT BOWL IN WHICH TO PUT THE ROULEAUX OF GUINEAS THE PLAYERS LIKE SERVANTS WHEN CLEANING KNIVES,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk018\6147-34606-0006.wav
125-121342-0023,THAT I HAVE ABOUT TWENTY FOUR DOLLARS TO MY NAME QUESTION,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk017\125-121342-0023.wav
3242-8112-0009,SOMEBODY WOULD GET THAT WORKED OUT PRETTY SOON WOULDN'T THEY,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk020\3242-8112-0009.wav
6147-34606-0024,THAT'S HOW TO MAKE A COCK AN EAGLE AND A BIRD OF THE POULTRY YARD A BIRD OF THE MOUNTAIN LORD DAVID ATTENDED PRIZE FIGHTS AND WAS THEIR LIVING LAW ON OCCASIONS OF GREAT PERFORMANCES,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk018\6147-34606-0024.wav
481-123719-0016,INTO THE STREET NO I HAD A LOFTY WAY OF GETTING OUT OF IT ALL,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk002\481-123719-0016.wav
5778-54535-0010,MORE THAN ALL HIS PLAYTHINGS HE LIKED A PENCIL AND PAPER FROM THE TIME HE COULD SCRIBBLE AT ALL HE DREW PICTURES OF EVERYBODY AND EVERYTHING IN SIGHT,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk001\5778-54535-0010.wav
5652-19215-0025,THANKS MARIUS THAT IS PRECISELY THE IDEA OF WHICH I WAS IN SEARCH AND ON THE FOLLOWING DAY A MAGNIFICENT DRESS OF TEA ROSE COLORED MOIRE ANTIQUE WAS ADDED TO COSETTE'S WEDDING PRESENTS,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk013\5652-19215-0025.wav
298-126791-0061,AND BY HIS SYMPATHY SUCCEEDED IN RESTORING THE COLONEL TO HIS OWN GOOD GRACES,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk008\298-126791-0061.wav
1116-137572-0045,SEVEN THERE CAN BE NO NARROWING OF MARRIAGE TO MERE SEX ADJUSTMENT,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk004\1116-137572-0045.wav
4267-287369-0000,RATHER ODD COMMENTED MISTER JENKS BLACK PAPER AND WHITE INK WHITE INK IS EASY ENOUGH TO MAKE STATED MISTER PARKER,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk010\4267-287369-0000.wav
6019-3185-0078,NOW RUSHED TUMULTUOUSLY OUT OF THE BALLROOM TO SATISFY THEMSELVES ON THE SPOT THE DISTANCE WAS NOT GREAT AND WITHIN FIVE MINUTES SEVERAL PERSONS RETURNED HASTILY AND CRIED OUT TO THE CROWD OF LADIES THAT ALL WAS TRUE WHICH THE YOUNG GIRL HAD SAID,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk016\6019-3185-0078.wav
83-9960-0023,AND AFTER ALL THAT RACING AND FEE TO THE COACHMAN AND ALL I SPOKE TO BOTH THE PORTER AND THE PORTRESS A FINE STOUT WOMAN AND THEY KNOW NOTHING ABOUT HIM MARIUS BREATHED FREELY ONCE MORE,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk009\83-9960-0023.wav
4397-15666-0022,EARTH AND SKY ROUND AND ROUND THE ENTIRE LANDSCAPE WAS ONE RAVISHING REVELATION OF COLOR INFINITELY VARIED AND INTERBLENDED I HAVE SEEN MANY A GLORIOUS SUNSET BENEATH LIFTING STORM CLOUDS ON THE MOUNTAINS,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk011\4397-15666-0022.wav
6454-93938-0032,BUT BEFORE I WAS WITHIN SPEAKING DISTANCE BALDWIN CAME RUNNING OUT FROM BEHIND THE STATION AND SEEING ME TURNED CALLED BACK AND GESTICULATED EVIDENTLY TO SUMMON SOME COWBOYS TO HEAD ME OFF,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk007\6454-93938-0032.wav
6454-93938-0013,AS HE DID SO I GAVE HIM A SHOVE TOWARDS THE THREE WHICH SENT THEM ALL SPRAWLING ON THE FLOOR IN A PRETTY BADLY MIXED UP CONDITION I MADE A DASH FOR THE DOOR AND AS I WENT THROUGH IT,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk007\6454-93938-0013.wav
83-9960-0050,SOFTLY DETACHED A BIT OF PLASTER FROM THE WALL WRAPPED THE PAPER ROUND IT AND TOSSED THE WHOLE THROUGH THE CREVICE INTO THE MIDDLE OF THE DEN IT WAS HIGH TIME THENARDIER HAD CONQUERED HIS LAST FEARS OR HIS LAST SCRUPLES,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk009\83-9960-0050.wav
4267-287369-0010,IT TOOK THEM THE GREATER PART OF THE DAY TO MAKE A CIRCUIT OF THE BASE OF PHANTOM MOUNTAIN IN ORDER TO GET TO A PLACE WHERE A SORT OF TRAIL LED UPWARD IT'S TOO LATE TO DO ANYTHING TO NIGHT,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk010\4267-287369-0010.wav
5104-33407-0005,FOR A WHILE HE WALKED THE LAND AS THOUGH HE WERE IN A DREAM HE LOOKED AT THIS AND THAT AND EVERYTHING,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk019\5104-33407-0005.wav
298-126791-0025,THERE IS BUT LITTLE DANGER OF EXCEEDING THE TRUTH,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk008\298-126791-0025.wav
5778-54535-0027,AND THE MAP DRAWING HAD GROWN SO TIRESOME THAT JAMES HAD GIVEN UP WEST POINT AND SETTLED DOWN TO PAINTING AND ETCHING IN PARIS HE HAD DECIDED THAT THERE WAS NOTHING IN THE WORLD WHICH SUITED HIM BUT THE LIFE OF AN ARTIST,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk001\5778-54535-0027.wav
1116-137572-0014,INEVITABLE IN THE COMING TOGETHER OF ANY TWO PERSONS INTENSIFIED WHEN THOSE TWO PERSONS ARE AS DIFFERENT AS A MAN AND A WOMAN AND UNAVOIDABLE FOR TWO COMMITTED TO A LIFETIME TOGETHER IN THE CLOSE QUARTERS OF MARRIAGE TWO,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk004\1116-137572-0014.wav
125-121342-0007,THAT DEPRESSED HIM WITH ITS HEAVY ODOR COMPOUNDED OF THE TOBACCO SMELL OF THE MEN AND THE FETID SENSUOUSNESS OF STALE POWDER ON WOMEN AFTER THE THICK CROWD CAME ANOTHER SCATTERING A STRAY HALF DOZEN A MAN ON CRUTCHES,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk017\125-121342-0007.wav
4397-15666-0020,LOOKING ACROSS THE JORDAN THE GRAY SAGEY SLOPES FROM THE BASE OF THE OQUIRRH MOUNTAINS WERE COVERED WITH A THICK PLUSHY CLOTH OF GOLD SOFT AND ETHEREAL AS A CLOUD NOT MERELY TINTED AND GILDED LIKE A ROCK WITH AUTUMN SUNSHINE BUT DEEPLY MUFFLED BEYOND RECOGNITION,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk011\4397-15666-0020.wav
5104-33407-0010,IT WAS A GREAT HALL AND IT WAS FULL OF RICHLY DRESSED MEN THE FIRES SHONE ON SO MANY GOLDEN HEAD BANDS AND BRACELETS AND SO MANY GLITTERING SWORDS AND SPEARS ON THE WALL AND THERE WAS SO MUCH NOISE OF TALKING AND LAUGHING,C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk019\5104-33407-0010.wav
